L,0.554665,1.1424583,-0.6408715,0.48433214,-1.634295,-0.5778903,0.17817412,0.78187096,0.49878883,-1.1334659,0.79733163,0.22750546,-0.12182326,-1.0781932,-0.12039537,-0.5124908,-1.1177685,-0.5142081,2.1277869,-0.59756356,-0.54855615,-0.91418684,0.38002,-1.3718256,-0.3609605,-1.8459581,-0.93010014,0.20088679,0.6161152,1.1159084,1.7603253,-2.5862641
M,1.5157009,2.0042357,-0.17569886,1.9386618,0.018465647,-0.52867097,1.2936717,-0.9345349,-0.5344735,-0.19427282,-0.73243773,0.7538075,0.38538766,0.7003421,0.88923466,-0.56099313,-0.3424975,1.5381888,-0.91502416,-1.7500474,1.296115,-0.034496434,-2.2771125,-1.5683951,0.11925479,0.3391562,-0.027702363,1.0708159,0.47761813,1.2803024,0.63144267,0.8114088
N,-1.4672217,-0.63219637,1.1075888,-2.0481856,-0.044121373,-1.6435987,-0.015164943,-1.7455487,-0.34228894,1.3435853,-0.98339266,-0.9587238,-1.6716405,0.10721372,-0.25023913,-1.8651083,1.5683279,-0.043797825,0.523394,0.6020133,-1.011763,1.7537376,-1.4703549,0.60630214,0.78667825,0.16981147,-0.30513516,-0.57696563,-0.41828102,-1.198594,0.09229226,-0.3593905
P,1.2739156,-1.0507114,-0.81069005,-0.6032237,0.9493238,-0.6081549,0.5930293,0.06660894,-0.19992487,-0.3761351,-0.894258,1.3226528,0.51024556,0.088713035,0.24523558,0.70721817,0.03654403,0.038558844,1.1171118,0.36922398,-1.5970371,0.52116174,-0.30399406,-1.854729,-1.0434227,0.5991461,0.48480278,1.614822,-0.4136138,-1.2961069,0.44271916,-1.0089569
Q,0.12507851,-0.51121193,-0.038373504,-0.09724073,-0.92223454,-0.4807307,-0.23764177,-0.33692625,0.33150473,-1.2606193,-1.1222572,0.34852755,-2.050224,1.3636086,-1.0224444,-2.3965867,-0.050357144,0.35804963,0.25878143,-0.4652366,0.08380765,0.47349873,0.1718209,0.22061144,0.8863844,1.3935467,0.48754808,0.82275593,-0.4841592,-0.31861767,-0.45958793,0.7368182
R,-0.3939404,-0.44093332,1.1267086,-0.80867845,0.15990615,-0.21566044,-0.548445,0.37092215,-0.31162718,1.4887749,0.52373236,-1.0787396,-0.44892052,-0.17288685,0.98240054,1.2709125,-0.32574737,-1.1739529,-1.0183069,0.05204587,-0.3752009,0.29104772,-0.83786744,0.23428704,-1.24538,-1.0468309,0.8163882,-1.192169,-0.09940976,-0.43007466,-0.77094924,-1.2713174
S,0.405192,0.50584114,-0.046038896,-0.5166791,-0.46995422,0.6387462,-1.0054739,0.6503354,-0.103004985,0.7912875,1.2564042,0.110411,1.6913737,0.08280969,0.550147,0.574798,0.6876749,-0.11824695,1.5255729,-0.45560604,1.2396513,-0.44150048,0.20054072,-0.5271329,-0.9127088,-0.7458077,-0.36156696,-0.25751182,1.2765903,1.903587,-0.7562583,-0.12559432
T,0.5372019,0.5801684,1.2241964,0.52592605,0.39619222,-0.020631552,0.7993988,-0.37077552,1.1433505,-0.27840075,-0.14528261,0.8220515,0.2352524,-0.12893318,1.2880964,-0.13597547,-0.016858255,-0.34602645,-1.4238995,-0.19779618,-1.6647153,0.9486313,-0.563598,0.3983917,-1.0912211,0.56364334,1.0253483,-1.2077451,-0.5633953,0.017042594,0.43188047,0.3199002
V,-0.056944914,-0.56964564,0.24974312,-0.45415568,0.15550558,0.60176504,0.43172634,-0.37142187,0.652263,-1.1214018,0.6664115,-0.94239473,-0.8784469,0.4779699,-1.1586789,-1.0571852,-0.31000188,-1.7062674,-1.105684,-0.97157747,0.68961304,-0.3394703,0.5364952,0.57527626,-0.45667842,-0.9832854,0.38808614,-0.30732715,-0.6604985,0.79334444,0.121569365,-2.5692492
W,0.8950366,-0.54481125,-0.55393964,-0.91748375,1.4584814,-0.08334895,0.71538216,-0.035181288,2.623958,1.6683677,0.38028336,0.9791353,-0.81920594,-0.9905071,-0.081881076,-0.2629331,1.1351633,-0.31164908,-0.25162923,1.0378056,0.25528952,-1.1862636,0.49540228,0.98714185,0.10783954,0.64700085,-0.29707634,2.833962,0.62338924,-1.0639216,-0.7527736,-0.47784683
Y,-0.3119536,0.038755465,-0.87824863,-1.9686617,-1.8241646,0.58333504,0.5160097,-1.2876378,0.8283906,-0.5962895,-0.3778476,-0.26838484,0.5292887,0.22743724,-0.18152276,-1.8318568,1.1649755,-0.2049207,1.3289803,-0.04655407,0.2144604,1.0048461,-0.5352497,0.06820573,-1.7441069,-0.21282241,0.2854291,-0.1708173,-2.0038424,1.4002647,-0.37954733,0.6184089
e,-1.3564835,1.3551708,0.3029375,0.010905135,-1.344033,0.08391754,-0.22076666,-0.22781475,-2.1430223,0.5170868,-1.0685542,-0.86450756,-1.3439435,0.6062591,-0.96749765,-0.73004055,-0.22534049,-1.1374228,-0.7699049,0.6997049,0.9823491,-0.56272,0.28069854,0.36287534,0.20294172,0.11990024,0.56539667,-0.44804215,-0.10449637,-0.17094901,-1.1009177,0.101619914
